_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
91,2020,July-Sept,1003329,6018878.0,319289,Black,M,Aged 18 to 24 years,Not a youth,52,1.0,1.0,Assault & Other crimes against persons,,,,,,,1,1,0,1,1,91
92,2020,July-Sept,1018905,6055400.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Other Offence,,,,,,,None,None,None,None,None,92
93,2020,Oct-Dec,1021546,6057271.0,319289,Black,M,Aged 18 to 24 years,Not a youth,13,,,Warrant,,,,,,,None,None,None,None,None,93
94,2020,Oct-Dec,1016728,6019520.0,319289,Black,M,Aged 18 to 24 years,Not a youth,51,,1.0,Robbery & Theft,,,,,,,None,None,None,None,None,94
95,2020,Oct-Dec,1017262,6035149.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Warrant,,1.0,1.0,,,,None,None,None,None,None,95
96,2021,Jan-Mar,1015011,6025404.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Drug Related,,,,,,,None,None,None,None,None,96
97,2021,Jan-Mar,1041835,6046184.0,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,1.0,Robbery/Theft,,,,1.0,,1.0,None,None,None,None,None,97
98,2021,Jan-Mar,1029665,6046224.0,319289,Black,M,Aged 18 to 24 years,Not a youth,55,,1.0,Robbery/Theft,,,,,,1.0,None,None,None,None,None,98
99,2021,Oct-Dec,1046409,6001204.0,309169,Black,M,Aged 25 to 34 years,Not a youth,12,,1.0,Break and Enter,,,,,,1.0,None,None,None,None,None,99
100,2020,Jan-Mar,1053440,6051982.0,331766,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,52,,,Weapons & Homicide,,,,,,,None,None,None,None,None,100
101,2020,Apr-June,1045900,6022768.0,302516,South Asian,M,Aged 25 to 34 years,Not a youth,42,,1.0,Vehicle Related (inc. Impaired),,,,,,,None,None,None,None,None,101
102,2021,Oct-Dec,1029220,6037659.0,311437,White,M,Aged 18 to 24 years,Not a youth,43,,1.0,Drug Related,,,,,,,None,None,None,None,None,102
103,2021,Jan-Mar,1048673,6004321.0,327247,White,F,Aged 45 to 54 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,103
104,2020,Oct-Dec,1026931,6060374.0,310317,Black,F,Aged 35 to 44 years,Not a youth,12,,1.0,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,104
105,2020,July-Sept,1017478,6051878.0,332920,White,M,Aged 55 to 64 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,105
106,2020,Jan-Mar,1004287,6047023.0,311652,Black,F,Aged 25 to 34 years,Not a youth,54,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,106
107,2021,Jan-Mar,1052352,6057972.0,311652,Black,F,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,107
108,2021,Apr-June,1041836,6039685.0,311652,Black,F,Aged 25 to 34 years,Not a youth,31,,1.0,Assault,,,,,1.0,,None,None,None,None,None,108
109,2021,Apr-June,1025522,6063516.0,311652,Black,F,Aged 25 to 34 years,Not a youth,23,,,Assault,,,,,,,None,None,None,None,None,109
110,2021,Apr-June,1045234,6061184.0,311652,Black,F,Aged 25 to 34 years,Not a youth,51,,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,110
111,2021,Apr-June,1018611,6036804.0,311652,Black,F,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,111
112,2021,Apr-June,1032276,6026908.0,311652,Black,F,Aged 25 to 34 years,Not a youth,23,,1.0,FTA/FTC/Compliance Check/Parollee,,1.0,,1.0,,,None,None,None,None,None,112
113,2021,July-Sept,1020878,6004171.0,311652,Black,F,Aged 25 to 34 years,Not a youth,51,,1.0,Crimes against Children,,,,,,,None,None,None,None,None,113
114,2020,Jan-Mar,1057809,6009581.0,317100,White,M,Aged 35 to 44 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,114
115,2021,Apr-June,1058103,6011981.0,303171,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Weapons,,,,,,,None,None,None,None,None,115
116,2021,Oct-Dec,1058942,6057918.0,303171,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Police Category - Incident,,,,,,,None,None,None,None,None,116
117,2021,Oct-Dec,1002114,6031434.0,316494,Indigenous,M,Aged 35 to 44 years,Not a youth,XX,,1.0,Police Category - Administrative,,,,,,1.0,None,None,None,None,None,117
118,2021,Oct-Dec,1057815,6010917.0,328129,Black,M,Aged 55 to 64 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,1.0,None,None,None,None,None,118
119,2021,July-Sept,1032520,6044354.0,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,1.0,Assault,,,,,,,None,None,None,None,None,119
120,2021,July-Sept,1037038,6057090.0,319521,White,M,Aged 25 to 34 years,Not a youth,51,,1.0,Other Offence,,,,,,,None,None,None,None,None,120
121,2021,Oct-Dec,1046882,6012853.0,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,,Police Category - Administrative,,,,,,,None,None,None,None,None,121
122,2021,Oct-Dec,1007865,6038390.0,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,1.0,Assault,,,,,,1.0,None,None,None,None,None,122
123,2021,Oct-Dec,1006786,6052039.0,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,,Fraud,,,,,,,None,None,None,None,None,123
124,2020,Apr-June,1031171,6003055.0,325815,White,M,Aged 35 to 44 years,Not a youth,52,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,124
125,2020,July-Sept,1048228,6050921.0,309891,White,M,Aged 18 to 24 years,Not a youth,XX,,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,None,None,None,None,None,125
126,2020,Oct-Dec,1018495,6052267.0,309891,White,M,Aged 18 to 24 years,Not a youth,12,,1.0,Assault & Other crimes against persons,,,,,1.0,,None,None,None,None,None,126
127,2021,Jan-Mar,1008808,6032464.0,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1.0,Police Category - Incident,,,,,,,None,None,None,None,None,127
128,2021,Apr-June,1024226,6008409.0,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1.0,Assault,,1.0,,,,,None,None,None,None,None,128
129,2021,July-Sept,1023043,6061699.0,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1.0,Robbery/Theft,,1.0,,,,,None,None,None,None,None,129
130,2021,July-Sept,1020668,6004651.0,309891,White,M,Aged 18 to 24 years,Not a youth,51,,1.0,LLA,,,,1.0,,,None,None,None,None,None,130
131,2020,July-Sept,1040280,6008153.0,333572,Black,M,Aged 35 to 44 years,Not a youth,51,,1.0,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,131
132,2020,July-Sept,1041542,6032980.0,333572,Black,M,Aged 35 to 44 years,Not a youth,51,,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,None,None,None,None,None,132
133,2020,July-Sept,1026871,6032843.0,320418,Black,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,"FTA/FTC, Compliance Check & Parollee",,,,,,1.0,1,0,1,0,0,133
134,2021,Jan-Mar,1049623,6000842.0,320418,Black,M,Aged 18 to 24 years,Not a youth,51,,1.0,Robbery/Theft,,,,,,,None,None,None,None,None,134
135,2021,Jan-Mar,1048728,6019597.0,320418,Black,M,Aged 18 to 24 years,Not a youth,XX,,1.0,Robbery/Theft,,,1.0,,,,None,None,None,None,None,135
136,2021,Oct-Dec,1051301,6059937.0,304390,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,136
