HH_ID,AGEGRP,AGEIMM,CF_RP,CFSTAT,CFSTRUCT,CIP2021,CITIZEN,CITOTH,CMA,EF_RP,EMPIN,HDGREE,WEIGHT
40993,6,99,2,5,3,13,1,5,535,2,91000,2,100.4176077
40994,11,99,1,1,1,8,1,5,999,1,99999999,4,100.9644705
40995,8,99,3,6,9,13,3,4,462,3,30000,2,100.111806
40996,4,99,3,6,9,13,1,5,462,3,4000,1,100.111806
40997,88,10,1,2,2,13,2,5,933,2,99999999,88,100.4811749
40998,11,99,1,1,1,8,1,5,999,1,99999999,4,100.4811749
40999,13,99,1,1,1,1,1,5,999,1,99999999,5,100.4176077
41000,8,6,1,2,2,8,3,3,933,1,94000,5,100.4811749
41001,12,99,1,1,1,13,1,5,933,1,99999999,2,100.4811749
41002,12,99,3,6,9,4,1,5,933,3,99999999,7,100.4811749
41003,5,99,1,3,3,13,1,5,999,1,6000,2,100.4176077
41004,9,99,2,4,2,13,1,5,999,2,85000,2,100.111806
41005,8,6,1,2,2,9,2,4,462,1,54000,8,100.111806
41006,10,1,1,1,1,3,2,1,535,1,83000,8,100.4176077
41007,8,99,1,3,3,4,1,5,999,1,28000,7,100.4176077
41008,12,1,1,1,1,8,2,5,535,1,99999999,5,100.4176077
41009,7,99,3,6,9,8,3,4,999,3,49000,5,100.111806
41010,6,5,1,1,1,6,2,5,999,1,42000,7,100.4176077
41011,7,6,1,3,3,11,2,4,535,1,99999999,5,100.4176077
41012,11,6,3,6,9,13,2,3,999,3,99999999,2,100.1576517
41013,6,99,3,6,9,13,1,5,462,3,44000,1,100.111806
41014,6,99,3,6,9,13,1,5,999,3,54000,2,100.5951601
41015,13,99,3,8,9,13,1,5,462,2,99999999,1,100.111806
41016,10,99,1,1,1,3,1,5,825,1,76000,8,100.5951601
41017,88,99,3,7,9,88,3,3,999,3,1,2,100.4176077
41018,6,99,1,3,3,13,1,5,999,1,99999999,2,100.111806
41019,5,99,3,6,9,8,1,5,999,3,150000,7,100.5951601
41020,7,99,1,1,1,4,1,5,933,1,34000,5,100.4811749
41021,13,99,1,1,1,13,1,5,999,1,99999999,1,100.111806
41022,13,12,1,2,2,13,2,3,535,1,99999999,1,100.4176077
41023,11,9,3,6,9,13,2,2,535,3,99999999,2,100.4176077
41024,11,99,1,1,1,4,1,5,999,1,99999999,5,100.111806
41025,10,99,1,2,2,10,1,5,999,1,99999999,8,100.4176077
41026,13,3,1,1,1,8,2,5,999,1,99999999,3,100.4176077
41027,8,99,1,2,2,5,1,5,933,1,708109,7,100.4811749
41028,12,99,3,6,9,10,1,5,999,3,99999999,3,100.111806
41029,6,99,3,6,9,13,1,5,933,3,40000,2,100.4811749
41030,9,1,3,6,9,13,2,5,999,3,15000,2,100.4176077
41031,13,8,1,3,3,13,2,2,999,1,5000,1,100.4176077
41032,10,99,1,2,2,13,1,5,999,1,53000,2,100.4176077
41033,9,99,1,2,2,10,1,5,825,1,77000,7,100.5951601
41034,9,99,1,2,2,8,1,5,835,1,80000,4,100.5951601
41035,8,99,1,2,2,5,1,5,933,1,40000,5,100.4811749
41036,6,99,3,6,9,9,1,5,999,3,53000,3,100.111806
41037,12,99,2,1,1,8,1,5,999,2,18000,5,100.5951601
41038,5,99,3,6,9,8,1,5,999,3,130000,5,100.4279472
41039,11,99,3,6,9,13,1,5,933,3,65000,2,100.4811749
41040,88,99,3,8,9,13,1,5,999,2,1000,88,100.4279472
41041,5,99,1,1,1,8,1,5,999,1,89000,3,100.111806
41042,11,99,1,1,1,5,1,5,999,1,1000,5,100.111806
41043,10,99,1,1,1,11,1,5,999,1,35000,5,100.1576517
41044,11,99,1,3,3,13,1,5,999,1,39000,2,100.111806
41045,10,99,1,2,2,4,1,5,835,1,110000,7,100.5951601
41046,88,99,1,2,2,5,1,5,462,1,60000,88,100.111806
