PP_ID,AGEGRP,EMPIN,HDGREE,WEIGHT
1263931201,88,13000,88,100.481174883465
1263931202,88,1,88,100.481174883465
1263941102,4,6000,2,100.417607740762
1263951101,11,7000,1,100.15765171502
1263951102,11,22000,2,100.15765171502
1263961101,12,130000,8,100.417607740762
1263971102,6,17000,7,100.481174883465
1263981101,5,16000,2,99.9745842484901
1264001101,10,-9000,88,100.964470533697
1264001103,6,34000,88,100.964470533697
1264001104,5,99000,88,100.964470533697
1264011101,9,66000,7,100.481174883465
1264011104,8,41000,8,100.481174883465
1264021101,10,35000,2,100.417607740762
1264021102,10,77000,2,100.417607740762
1264021103,5,40000,8,100.417607740762
1264051101,6,22000,5,100.417607740762
1264061101,9,31000,5,100.595160125175
1264071101,4,23000,5,100.417607740762
1264081101,5,81000,5,100.417607740762
1264081102,5,39000,2,100.417607740762
1264101101,9,86000,7,100.595160125175
1264101102,7,86000,6,100.595160125175
1264121101,9,58000,3,100.111805957177
1264141101,10,67000,5,100.595160125175
1264151101,8,120000,8,100.417607740762
1264161101,9,55000,6,100.595160125175
1264161102,9,93000,2,100.595160125175
1264161103,3,2000,1,100.595160125175
1264171101,5,25000,1,100.595160125175
1264191101,9,130000,7,100.417607740762
1264191102,8,130000,7,100.417607740762
1264201101,11,98000,7,100.595160125175
1264201102,5,1,7,100.595160125175
1264221101,8,80000,6,100.481174883465
1264231101,12,1,2,100.417607740762
1264231102,12,13000,2,100.417607740762
1264231103,5,59000,2,100.417607740762
1264241105,9,45000,2,100.417607740762
1264242201,8,22000,2,100.417607740762
1264242202,4,6000,2,100.417607740762
1264251101,8,46000,2,100.964470533697
1264251102,8,35000,2,100.964470533697
1264261103,5,1000,2,100.111805957177
1264271101,5,43000,2,100.42794720071
1264281101,5,41000,8,100.111805957177
1264281102,5,46000,8,100.111805957177
1264291101,7,60000,5,100.417607740762
1264301101,8,5000,1,100.111805957177
1264301102,11,31000,1,100.111805957177
1264321101,11,73000,4,99.9745842484901
1264331101,8,69000,8,100.595160125175
1264331102,8,43000,8,100.595160125175
1264341101,11,50000,5,100.481174883465
1264341102,12,62000,4,100.481174883465
1264351101,9,110000,2,100.417607740762
1264361101,11,120000,5,100.42794720071
1264371101,3,2000,2,100.417607740762
1264371102,4,18000,7,100.417607740762
1264371103,9,110000,5,100.417607740762
1264371104,10,57000,4,100.417607740762
1264382101,5,21000,5,100.417607740762
1264382103,4,25000,5,100.417607740762
1264382104,4,24000,5,100.417607740762
1264391101,11,-3000,2,100.417607740762
1264401101,11,30000,7,100.417607740762
1264411101,12,-2000,3,100.481174883465
1264411102,12,10000,5,100.481174883465
1264431101,8,14000,5,100.15765171502
1264431102,6,31000,7,100.15765171502
1264441101,7,67000,5,100.417607740762
1264451102,11,9000,2,100.595160125175
1264461101,11,35000,7,100.111805957177
1264481101,8,47000,1,100.417607740762
1264481102,4,32000,7,100.417607740762
1264481103,9,71000,5,100.417607740762
1264491101,5,81000,5,100.111805957177
1264491102,5,48000,2,100.111805957177
1264511201,88,80000,88,100.42794720071
1264511204,88,86000,88,100.42794720071
1264531101,11,16000,2,100.179169992005
1264531102,11,42000,2,100.179169992005
1264551101,11,71000,5,100.417607740762
1264551102,11,160000,5,100.417607740762
1264551103,4,46000,7,100.417607740762
1264551104,4,30000,2,100.417607740762
1264571101,9,200000,2,100.417607740762
1264571102,7,11000,3,100.417607740762
1264581101,10,56000,4,100.111805957177
1264581103,4,19000,7,100.111805957177
1264581104,3,7000,2,100.111805957177
1264591101,11,58000,2,100.417607740762
1264591102,11,65000,2,100.417607740762
1264601101,6,64000,7,100.964470533697
1264611101,10,81000,8,100.417607740762
1264611102,9,58000,8,100.417607740762
1264621102,12,140000,4,100.481174883465
1264641101,6,37000,2,100.417607740762
1264641102,6,59000,2,100.417607740762
1264661101,12,16000,2,100.417607740762
1264661102,12,23000,2,100.417607740762
1264671102,10,270821,8,100.417607740762
1264681101,9,87000,8,100.481174883465
1264681102,9,57000,7,100.481174883465
1264701101,13,-1,5,100.417607740762
1264711101,8,130000,7,100.111805957177
1264711102,7,88000,7,100.111805957177
1264721101,5,86000,7,100.964470533697
1264721102,5,52000,2,100.964470533697
1264731101,6,82000,4,100.481174883465
1264731102,6,52000,4,100.481174883465
1264741101,11,54000,5,100.417607740762
1264741102,11,71000,2,100.417607740762
1264741103,4,23000,6,100.417607740762
1264751101,5,7000,5,100.595160125175
1264751102,6,68000,4,100.595160125175
1264761101,7,50000,4,100.595160125175
1264761102,6,39000,8,100.595160125175
1264781101,10,63000,2,100.179169992005
1264781102,10,69000,5,100.179169992005
