GeoUID,Region Name,Population,share_lim_at,share_homeowner,share_burden,share_immigrant,share_university
35555,London (B),543551,12.4,0.6257649388048956,22.285922285922286,9.679346000223973,26.576717916535927
35556,Chatham-Kent (D),104316,12.1,0.719637804187889,15.69223573433115,2.213732980703301,12.943791308416682
35559,Windsor (B),422630,11.3,0.7246114380564358,17.504491063544744,7.856704492124042,22.32603743115033
35562,Sarnia (K),97592,9.9,0.7241662752465946,16.097619620100986,3.5727268006439217,16.63597298956415
35563,Essa (D),22970,5.8,0.8062893081761007,16.645326504481435,2.9185867895545314,15.194054500412882
35565,Wasaga Beach (D),24862,8.8,0.8543015726179464,19.990723562152134,2.7049013626194833,12.520175236338483
35566,Owen Sound (D),32712,12.4,0.689367616400278,20.267888614733874,2.353310323187951,17.10453793863678
35567,Collingwood (D),24811,9.9,0.7278424350940018,26.54708520179372,2.780638516992791,26.334604385128696
35568,Barrie (B),212856,7.7,0.7337662337662337,25.268886043533932,5.717208726892056,19.749432487572196
35569,Orillia (D),33411,12.6,0.6117850953206239,26.687543493389004,2.5100712736287574,17.499095186391603
35571,Midland (D),27894,13.4,0.6904862579281184,22.44378447178617,2.04855842185129,14.401223776223777
35575,North Bay (K),71736,11.8,0.6696600384862091,19.21713917525773,1.8240114000712504,18.170415586587506
35580,Greater Sudbury / Grand Sudbury (B),170605,9.6,0.6494754053685788,17.20304673025458,3.7585013721512945,19.0326233104522
35582,Elliot Lake (D),11372,20,0.6078767123287672,19.862424763542563,1.6926503340757237,10.64676616915423
35586,Timmins (D),41145,11.7,0.6695554934302488,16.151685393258425,2.6916397916149837,12.819370172311348
35590,Sault Ste. Marie (K),76731,11.6,0.692184776292853,15.765366430260046,2.824184566428003,19.4129523217891
35595,Thunder Bay (B),123258,11,0.7035602287400848,15.222263728053791,3.9393187830687832,22.162005225975033
35598,Kenora (D),14967,8.5,0.7350230414746544,16.705157813702847,1.9164955509924708,18.871753246753247
46602,Winnipeg (B),834678,12.2,0.6565655036706274,19.34728745800842,12.675137090330177,28.456164373477034
46603,Winkler (D),32655,15,0.7558293004839419,17.549371633752244,11.997516684774174,12.536023054755043
46605,Steinbach (D),17806,14.7,0.6174103877103145,21.65325530358449,10.298719772403983,17.512690355329948
46607,Portage la Prairie (D),13270,15.4,0.650132860938884,16.94764862466726,6.46921278254092,15.781853281853282
46610,Brandon (D),54268,13.1,0.6246354049809288,16.018978761861725,12.162290264480045,20.533208606173993
46640,Thompson (D),13035,14.5,0.5336898395721925,14.055793991416309,9.200310559006212,19.00262467191601
47705,Regina (B),249217,10.2,0.68546053288095,18.737106918238993,11.47172892427026,27.765978964401295
47710,Yorkton (D),19859,12.1,0.7375296912114014,16.35258358662614,6.8956677774929505,15.991203267357838
47715,Moose Jaw (D),34872,13,0.6769635228393033,17.71315267680106,6.4110070257611245,15.680314679063114
47720,Swift Current (D),18745,10.5,0.7113207547169811,15.853658536585366,7.419712070874861,17.296754767480763
47725,Saskatoon (B),317480,11,0.6821342925659473,21.157265233554227,10.118292859091857,28.80033440156054
47735,North Battleford (D),19374,13.3,0.6872218690400509,15.86073500967118,6.920415224913495,16.588785046728972
47745,Prince Albert (D),45718,15.4,0.645662368112544,17.284688995215312,5.366416618580496,15.944591806660773
47750,Estevan (D),12798,8.3,0.7371375116931712,13.825757575757576,7.4870569494225405,12.728169708929453
47755,Weyburn (D),12247,10,0.7102161100196464,15.653040877367896,5.961945031712474,16.227608008429925
47840,Lloydminster (Saskatchewan part / partie de la Saskatchewan) (D),16769,10.1,0.6744,19.698239731768652,8.325846061695119,12.848722986247544
48805,Medicine Hat (K),76376,10.5,0.7272301933873986,19.234419487503953,4.256602761764311,14.296181714564845
48806,Brooks (D),14924,8.8,0.6478599221789884,15.196078431372548,22.089450324342778,11.887800534283171
48810,Lethbridge (B),123847,9.6,0.7040805838215644,19.64360150062526,6.518942694717623,20.553156487764753
48820,Okotoks (D),30405,5.8,0.8572792362768497,17.264466762314683,4.730179880079946,21.236673773987206
48821,High River (D),14324,8.1,0.7538860103626943,19.290657439446367,11.05598866052445,15.22951522951523
48825,Calgary (B),1481806,8.6,0.7052658668181173,22.512205789158937,11.579162898629857,34.43446510261468
48826,Strathmore (D),14339,8.9,0.772438803263826,21.019108280254777,3.6157390996100673,14.368070953436806
48828,Canmore (D),15990,6.5,0.6620132255694342,24.944649446494466,12.206119162640901,42.60289210233593
48830,Red Deer (B),100844,9.8,0.6481115773882992,21.348036178912153,8.02692641134173,17.631562441196763
48831,Sylvan Lake (D),16514,9.4,0.6878306878306878,23.502653525398028,3.04228780042592,12.828438948995363
48832,Lacombe (D),13396,8.8,0.7179980750721848,19.47926711668274,5.661820964039785,19.204980842911876
48833,Camrose (D),18772,10.5,0.6594960049170252,21.900061690314622,5.471542480065988,16.455696202531644
48835,Edmonton (B),1418118,8.8,0.6873912052859421,22.45173993853628,10.531210874619925,26.45801378678091
48840,Lloydminster (Alberta part / partie de l'Alberta) (D),19739,8.5,0.7177472167648985,19.513797634691194,6.189856957087126,16.13545816733068
48850,Grande Prairie (K),64141,7.5,0.6570622607293976,22.381722604124544,8.254194365305477,15.835449466734383
48860,Wood Buffalo (K),73837,4.4,0.6581680830972616,12.840316663448542,9.366898621912949,19.18707845225417
