HH_ID,CMA,MODE,PWDUR,WEIGHT
124736,835,9,9,100.595160125175
124737,999,1,5,100.481174883465
124738,999,9,9,100.595160125175
124739,462,2,3,100.111805957177
124740,999,9,9,100.417607740762
124741,999,2,1,100.111805957177
124742,999,9,9,100.417607740762
124743,999,9,9,100.111805957177
124744,825,9,9,100.595160125175
124745,999,9,9,100.111805957177
124746,999,7,1,100.417607740762
124747,999,9,9,100.111805957177
124748,825,2,4,100.595160125175
124749,999,2,8,100.964470533697
124750,933,9,9,100.481174883465
124751,835,9,9,100.595160125175
124752,462,9,9,100.111805957177
124753,999,2,1,100.481174883465
124754,999,2,1,100.481174883465
124755,999,2,1,99.9745842484901
124756,535,4,2,100.417607740762
124757,999,2,1,100.417607740762
124758,999,9,9,100.111805957177
124759,535,2,2,100.417607740762
124760,999,9,9,100.111805957177
124761,825,2,2,100.595160125175
124762,999,9,9,100.417607740762
124763,999,2,3,100.417607740762
124764,535,2,2,100.417607740762
124765,999,2,5,100.111805957177
124766,999,9,9,100.417607740762
124767,535,9,9,100.417607740762
124768,999,5,1,100.417607740762
124769,462,6,3,100.111805957177
124770,835,9,9,100.595160125175
124771,999,2,2,100.417607740762
124772,462,9,9,100.111805957177
124773,999,9,9,100.417607740762
124774,999,2,1,99.9745842484901
124775,999,9,9,100.111805957177
124776,535,6,5,100.417607740762
124777,999,2,3,100.111805957177
124778,999,9,9,100.42794720071
124779,999,2,1,100.179169992005
124780,835,2,3,100.595160125175
124781,999,9,9,100.111805957177
124782,999,9,9,100.111805957177
124783,535,2,3,100.417607740762
124784,999,2,1,100.417607740762
124785,535,2,2,100.417607740762
124786,462,2,5,100.111805957177
124787,999,9,9,100.481174883465
124788,535,2,1,100.417607740762
124789,462,9,9,100.111805957177
124790,933,2,3,100.481174883465
124791,999,9,9,100.481174883465
124792,999,9,9,100.111805957177
124793,999,9,9,100.481174883465
124794,825,9,9,100.595160125175
124795,999,9,9,100.111805957177
124796,999,2,3,100.111805957177
124797,999,7,1,101.098005203819
124798,933,9,9,100.481174883465
124799,999,2,2,100.417607740762
124800,999,9,9,100.417607740762
124801,999,9,9,100.111805957177
124802,535,9,9,100.417607740762
124803,535,9,9,100.417607740762
124804,933,9,9,100.481174883465
124805,999,9,9,99.9745842484901
124806,999,9,9,100.111805957177
124807,462,9,9,100.111805957177
124808,535,9,9,100.417607740762
124809,999,9,9,100.111805957177
124810,933,9,9,100.481174883465
124811,462,6,4,100.111805957177
124812,462,9,9,100.111805957177
124813,999,9,9,100.481174883465
124814,999,2,1,100.417607740762
124815,999,4,1,100.417607740762
124816,999,9,9,100.111805957177
124817,462,5,4,100.111805957177
124818,999,9,9,100.417607740762
124819,999,2,2,100.481174883465
124820,835,9,9,100.595160125175
124821,999,9,9,100.417607740762
124822,999,2,1,100.179169992005
124823,999,9,9,100.481174883465
124824,462,2,2,100.111805957177
124825,835,2,2,100.595160125175
124826,999,7,1,100.595160125175
